index,query,latency_ms,hit
0,水电燃气方面花了多少钱,15,True
1,家庭支出清单,16,True
2,国家电网电费多少钱,30,True
3,最近的家庭支出记录,15,True
4,话费账单明细,0,True
5,2026年4月水电燃气支出,31,True
6,物业费是多少,15,True
7,燃气费账单,15,True
8,家庭月度开销汇总,16,True
9,电费和水费记录,14,True
10,水电燃气方面花了多少钱,16,True
11,家庭支出清单,15,True
12,国家电网电费多少钱,15,True
13,最近的家庭支出记录,15,True
14,话费账单明细,15,True
15,2026年4月水电燃气支出,16,True
16,物业费是多少,14,True
17,燃气费账单,16,True
18,家庭月度开销汇总,15,True
19,电费和水费记录,15,True
20,水电燃气方面花了多少钱,16,True
21,家庭支出清单,15,True
22,国家电网电费多少钱,15,True
23,最近的家庭支出记录,30,True
24,话费账单明细,16,True
25,2026年4月水电燃气支出,15,True
26,物业费是多少,15,True
27,燃气费账单,31,True
28,家庭月度开销汇总,15,True
29,电费和水费记录,16,True
30,水电燃气方面花了多少钱,14,True
31,家庭支出清单,31,True
32,国家电网电费多少钱,15,True
33,最近的家庭支出记录,16,True
34,话费账单明细,15,True
35,2026年4月水电燃气支出,15,True
36,物业费是多少,16,True
37,燃气费账单,30,True
38,家庭月度开销汇总,15,True
39,电费和水费记录,15,True
40,水电燃气方面花了多少钱,16,True
41,家庭支出清单,15,True
42,国家电网电费多少钱,31,True
43,最近的家庭支出记录,14,True
44,话费账单明细,16,True
45,2026年4月水电燃气支出,15,True
46,物业费是多少,15,True
47,燃气费账单,16,True
48,家庭月度开销汇总,15,True
49,电费和水费记录,15,True
50,水电燃气方面花了多少钱,16,True
51,家庭支出清单,14,True
52,国家电网电费多少钱,16,True
53,最近的家庭支出记录,15,True
54,话费账单明细,15,True
55,2026年4月水电燃气支出,16,True
56,物业费是多少,15,True
57,燃气费账单,15,True
58,家庭月度开销汇总,16,True
59,电费和水费记录,30,True
60,水电燃气方面花了多少钱,15,True
61,家庭支出清单,15,True
62,国家电网电费多少钱,16,True
63,最近的家庭支出记录,15,True
64,话费账单明细,15,True
65,2026年4月水电燃气支出,16,True
66,物业费是多少,14,True
67,燃气费账单,16,True
68,家庭月度开销汇总,15,True
69,电费和水费记录,15,True
70,水电燃气方面花了多少钱,16,True
71,家庭支出清单,15,True
72,国家电网电费多少钱,15,True
73,最近的家庭支出记录,16,True
74,话费账单明细,14,True
75,2026年4月水电燃气支出,16,True
76,物业费是多少,30,True
77,燃气费账单,16,True
78,家庭月度开销汇总,15,True
79,电费和水费记录,15,True
80,水电燃气方面花了多少钱,16,True
81,家庭支出清单,14,True
82,国家电网电费多少钱,16,True
83,最近的家庭支出记录,15,True
84,话费账单明细,15,True
85,2026年4月水电燃气支出,31,True
86,物业费是多少,15,True
87,燃气费账单,16,True
88,家庭月度开销汇总,14,True
89,电费和水费记录,16,True
90,水电燃气方面花了多少钱,15,True
91,家庭支出清单,15,True
92,国家电网电费多少钱,16,True
93,最近的家庭支出记录,15,True
94,话费账单明细,15,True
95,2026年4月水电燃气支出,16,True
96,物业费是多少,14,True
97,燃气费账单,16,True
98,家庭月度开销汇总,15,True
99,电费和水费记录,15,True
100,水电燃气方面花了多少钱,16,True
101,家庭支出清单,15,True
102,国家电网电费多少钱,15,True
103,最近的家庭支出记录,16,True
104,话费账单明细,30,True
105,2026年4月水电燃气支出,15,True
106,物业费是多少,15,True
107,燃气费账单,16,True
108,家庭月度开销汇总,15,True
109,电费和水费记录,15,True
110,水电燃气方面花了多少钱,16,True
111,家庭支出清单,14,True
112,国家电网电费多少钱,16,True
113,最近的家庭支出记录,15,True
114,话费账单明细,15,True
115,2026年4月水电燃气支出,16,True
116,物业费是多少,30,True
117,燃气费账单,16,True
118,家庭月度开销汇总,14,True
119,电费和水费记录,16,True
120,水电燃气方面花了多少钱,15,True
121,家庭支出清单,15,True
122,国家电网电费多少钱,16,True
123,最近的家庭支出记录,15,True
124,话费账单明细,15,True
125,2026年4月水电燃气支出,16,True
126,物业费是多少,14,True
127,燃气费账单,16,True
128,家庭月度开销汇总,30,True
129,电费和水费记录,16,True
130,水电燃气方面花了多少钱,15,True
131,家庭支出清单,15,True
132,国家电网电费多少钱,16,True
133,最近的家庭支出记录,14,True
134,话费账单明细,16,True
135,2026年4月水电燃气支出,15,True
136,物业费是多少,31,True
137,燃气费账单,15,True
138,家庭月度开销汇总,15,True
139,电费和水费记录,16,True
140,水电燃气方面花了多少钱,14,True
